Time,Event
02:06.298,Lemme At'em attack Erichthonios 1443 (Direct Hit)
02:06.875,Lemme At'em prepares  Riot Blade  on Erichthonios *10018* (+43%)+25% damage
02:07.186,"Lemme At'em Blade of Valor Erichthonios Tick  1630 (T: 1417, C: 24.2%, D: 19.2%, P/R: 18.36, G: 1468.46, M: 1, S: 1697)"
02:07.498,Lemme At'em prepares  Circle of Scorn  on Erichthonios *3321*+25% damage
02:07.632,Lemme At'em Riot Blade Erichthonios *10018* (+43%)
02:08.033,Lemme At'em prepares  attack  on Erichthonios 1507+25% damage
02:08.522,Lemme At'em Circle of Scorn Erichthonios *3321*
02:08.567,Lemme At'em attack Erichthonios 1507
02:09.326,Lemme At'em prepares  Goring Blade  on Erichthonios 5451 (+60%)+31% damage
02:09.861,Lemme At'em Goring Blade Erichthonios 5451 (+60%)
